132.8154,253.4484,52.7512,200.6972,130.3648,-0.13941,161.4105,-168.957,330.3676,0.21325,-5.024e-05,1.9455
198.4195,361.4754,51.593,309.8824,223.8993,-0.16064,239.232,-300.6437,539.8757,-0.4027,-1.573e-05,1.915
167.0851,360.7512,50.8507,309.9005,167.5935,-0.1103,282.731,-287.1045,569.8355,0.17689,-0.00020819,1.4623
179.0028,295.7311,51.1601,244.571,192.9645,-0.244,239.0587,-212.6479,451.7066,-0.87341,9.2929e-05,2.5813
193.1546,284.359,52.6923,231.6667,204.4197,-0.22382,177.6949,-156.4317,334.1266,-0.64302,-0.00036714,2.951
197.6074,301.4186,51.3388,250.0799,252.9283,-0.28332,218.637,-224.5595,443.1965,-0.46214,0.00029621,1.9624
164.7834,327.1243,51.2195,275.9048,132.4324,-0.052655,230.2372,-272.3605,502.5977,-0.42245,9.9516e-05,1.871
183.3203,314.9441,50.9189,264.0252,208.7659,-0.0078403,250.8494,-171.9981,422.8476,-0.34738,-9.6481e-06,2.0549
196.631,351.8934,52.4417,299.4517,204.6487,-0.23232,262.4567,-262.3482,524.8049,-0.090853,-5.9956e-05,2.1787
189.6622,315,53.8462,261.1538,195.5664,-0.56,196.4886,-220.2636,416.7523,-0.32348,-6.6582e-05,2.2344
202.4883,364.4628,55.0521,309.4107,247.7528,-0.106,300.4596,-292.735,593.1946,-0.23447,-5.7206e-05,2.3369
163.8816,355.6452,50.8073,304.8379,184.5832,-0.0043535,289.0236,-282.7526,571.7762,-0.48879,0.00012555,1.8046
181.2613,345.5368,51.4586,294.0782,210,0.10465,199.6378,-288.3384,487.9761,-2.5529,0.00033547,2.3979
171.4881,333.0945,51.5789,281.5155,172.1716,-0.51745,206.965,-224.1777,431.1426,-0.68011,-0.00087852,1.7733
140.5586,355.9766,50.9238,305.0528,107.6685,-0.076711,252.2997,-211.5537,463.8533,-0.38349,0.00076432,1.4179
156.0289,350,51.1822,298.8178,109.1584,0.0091547,265.7045,-242.1173,507.8219,-0.6474,3.795e-05,1.5274
156.2527,341.0487,50.7,290.3487,121.1538,-0.025155,260.8818,-280.4717,541.3535,-0.39166,-0.00026906,1.5215
141.0146,306.25,51.4586,254.7914,99.1499,-0.024988,202.5614,-202.9526,405.514,-0.30586,-9.786e-05,1.513
149.1588,356.0725,52.1252,303.9473,109.4956,-0.087266,293.1411,-263.2304,556.3715,-0.50875,6.3277e-05,1.55
177.6432,308.3916,53.4968,254.8948,208.4492,-0.057479,228.0225,-224.8284,452.8509,-0.77951,0.00033033,1.6809
169.0885,369.8146,53.5635,316.2512,168.3206,0.51458,223.9678,-220.5834,444.5512,0,0.00018029,1.5143
167.2421,326.0293,51.1708,274.8585,167.9104,-0.15539,216.8488,-229.4671,446.3159,-0.25289,0.00021457,1.5247
167.5103,311.2897,50.7811,260.5085,196.974,-0.31058,217.6069,-221.809,439.416,-0.19016,0.00016531,2.2805
167.935,288.3021,51.1008,237.2013,179.2683,-0.45111,193.8072,-206.5098,400.317,-0.098303,-0.00020836,1.5177
163.8618,347.2441,51.3371,295.907,185.089,-0.13713,277.2351,-220.9005,498.1356,-0.28109,-5.8547e-05,1.712
174.374,324.2647,54.4343,269.8304,208.9352,-0.46037,236.846,-236.7591,473.6051,-0.50561,0.00010778,1.5788
170.087,358.5366,50.6897,307.8469,190.9091,0.055527,294.3508,-198.7336,493.0844,-0.63714,-0.00039677,2.1682
